position,bestmove
r4rk1/p5pp/Pp6/2p2p2/1nPpP3/QR1Bq1P1/3N3P/3K1R2 b - - 0 30,"['f5e4',]"
2k1r1nr/ppp2pp1/7p/3P1b2/Q1P5/P1q1BN2/3R1PPP/4K2R w K - 4 19,"['a4e8',]"
r5k1/pp1n1p1p/3p1qp1/2p2n2/7N/3P3Q/PPP3PP/4RR1K b - - 3 20,"['f6h4',]"
3r4/2k3b1/2p4p/5Qp1/8/PP6/2P3PP/1K1R4 b - - 0 31,"['d8d1',]"
r1bq1rk1/pp3ppp/8/4n3/2P5/3B4/P2QNPPP/3RK2R w K - 0 16,"['d3h7',]"
4q3/1k6/1pp5/5Pb1/3P2Pp/1N1Q4/1PP3PP/6K1 b - - 1 31,"['e8e1',]"
3k4/p7/bpQp4/2pP4/2P3pP/2r3P1/P3r3/6K1 w - - 2 46,"['c6d6',]"
r1b1r2k/pp6/3p1Q1b/2p1N3/1q2P3/8/PPP2PPP/1R3K1R b - - 0 20,"['h6g7',]"
q7/3Q2k1/3p1p1p/P2Rp1p1/8/6P1/1P3PKP/2r5 b - - 8 43,"['g7g6',]"
8/6kp/1r1p1r2/8/R3p3/P1Pb2P1/3R1PB1/6K1 b - - 1 33,"['b6b1',]"
8/6k1/1p1p2p1/2pPp3/2P3KP/2P5/5P2/8 w - - 1 35,"['g4g5',]"
k7/8/p2p4/Pq1Pp3/2p1P1p1/Q5Pp/2P1K2P/8 b - - 1 48,"['c4c3',]"
8/p7/1p6/2p5/P1P3r1/1P1R1KP1/2k5/8 b - - 2 49,"['g4g3',]"
8/8/2R1k3/5p1p/3pr1pP/1K4P1/2P2P2/8 b - - 1 42,"['e6d5',]"
1k6/pp5Q/2p4p/4r3/8/6PP/PPPq1N1K/8 w - - 3 29,"['h7h8',]"
8/p1pR4/1p3kp1/4qp1p/8/1B2P2P/P4PK1/8 w - - 0 36,"['d7f7',]"
rn2r1qk/ppp1Q1bp/6p1/4N1B1/8/7P/PP3PP1/R4RK1 w - - 4 19,"['e5f7',]"
r1b1k2r/pp3p2/8/3pq1pp/1bp5/2N1P1PP/PPQ1B1P1/R3K2R w KQkq - 0 17,"['c2a4',]"
r1b2b1r/pp1p4/2pk1qpp/4p3/3p4/1B3Q2/PPPP1PPP/R1B1K2R w KQ - 0 15,"['f3f6',]"
3r4/5k2/p1p5/1p2P3/4nBR1/6P1/PPP4P/7K b - - 0 31,"['e4f2',]"
2r3k1/5ppp/1p2pb2/3q4/p2PQ3/B2R4/1PrN1PPP/3R2K1 b - - 7 31,"['c2d2',]"
r7/ppq3k1/3b3r/4p1p1/3pQpP1/PB1P1P2/1PP1R3/R5K1 b - - 9 33,"['a8h8',]"
rn3brk/pp4q1/3p4/2pPp3/2P1PpB1/2R5/PP4P1/1N1Q1RK1 b - - 0 30,"['g7g4',]"
3r2k1/qb3pp1/p3p1p1/1p6/3P3B/1B6/PP3PPP/R2Q2K1 b - - 2 23,"['d8d4',]"
1k6/2pr1p2/6p1/p1Q1P2p/P2PqP2/6P1/1PPR2P1/1K6 b - - 10 30,"['e4e1',]"
4r2k/rq1nb2p/p2QR1p1/1pp3p1/8/1P1P3P/P1P2PP1/4R2K w - - 0 25,"['e6e7',]"
2kr4/p3Rp2/Pp4p1/3P1b2/2P2K1Q/2q5/5PP1/5B2 b - - 6 30,"['d8h8',]"
1kr5/2b2pp1/1p2p3/3qP2p/Q2p4/R5PK/5P1P/8 w - - 0 40,"['a4a7',]"
4rr2/pp1k1p1R/3p2p1/2Q5/2P1q3/1P4P1/P4P2/3R2K1 b - - 2 31,"['e4e1',]"
8/8/1p5p/1k1Kp1p1/6P1/2P1p2P/5P2/8 w - - 0 40,"['f2e3',]"
8/p3k3/2p5/P3P1Kp/1P6/1BP2p1P/6n1/8 b - - 0 40,"['g2e3',]"
r1b3k1/ppp2p1p/6p1/3p3r/1P1B3q/P3PN2/2P1BPP1/R2Q1RK1 b - - 0 16,"['h4h1',]"
8/8/6p1/1k3r1p/2p4K/PNB5/1P6/8 w - - 0 57,"['b3d4',]"
r1b2rk1/pp4pp/1q2pb2/1P1p4/3P4/P2B1N2/6PP/RN1Q1RK1 b - - 0 15,"['f6d4',]"
5r2/pp5k/1q2r2p/2R1Q3/4p3/4n2P/PP4P1/R6K w - - 0 33,"['c5c7',]"
8/1p6/p5P1/2p4R/3k4/P3r2P/8/6K1 b - - 0 42,"['e3g3',]"
2r1r3/1p1q1pk1/p4n2/P2ppbN1/8/n1P1P2B/1P2Q3/R4KR1 w - - 0 32,"['g5e6',]"
2q2r1k/pp3ppp/8/3QPb2/2B2BP1/5P2/PPP2b1P/R6K b - - 0 19,"['f5e6',]"
2QBnrk1/p5b1/3p4/1NpPp1q1/2P1Pp1n/P5p1/5NPP/1R3RK1 b - - 1 27,"['g3h2',]"
r1b2rk1/pp1qnpp1/2pb3p/4p1N1/4N3/4P3/PPQP1PPP/R1B1K2R w KQ - 0 14,"['e4f6',]"
rnb1k1nr/pppp3p/5pN1/b7/3Pq3/2P5/PP2QPPP/RNB1KB1R b KQkq - 1 8,"['e4e2',]"
6rr/ppp1q1N1/2nk4/4pQp1/1b6/8/PP3PPP/R1B3K1 w - - 3 21,"['f5d3',]"
8/8/8/1p1b2Bp/1P3Pk1/4K3/8/8 b - - 11 50,"['h5h4',]"
2r5/p2k2P1/1pn2B1R/3p2K1/2pPb3/P1P5/8/8 w - - 1 61,"['h6h8',]"
r6k/4b1p1/4Q2p/1p2p3/q7/2PK4/1P1R2PP/3R4 b - - 4 32,"['a8d8',]"
2r3k1/p5pp/1Q1r1p2/3p4/8/1P1R2R1/P4PPP/6K1 b - - 0 27,"['c8c1',]"
2r4k/pb3p2/1p2pP1p/8/P2p4/3R2R1/1P3PPP/6K1 b - - 0 25,"['c8c1',]"
8/k5p1/1N2P2p/2Q5/1r6/3R4/P1K5/4q3 b - - 0 48,"['e1b1',]"
6k1/1b3ppp/8/4r3/3R4/P5PP/1PP2P2/5K2 w - - 0 31,"['d4d8',]"
8/1p5k/p5Rp/2p5/4Bp2/2P2P1P/qP1K4/8 w - - 0 35,"['g6a6',]"
2r1k2r/3n1p2/p6p/1pqpp1p1/8/P4PP1/1Q1B2KP/1R3B2 w k - 6 32,"['b1c1',]"
2b2r1k/pp2Npbp/4p1p1/4q3/Q1Pn2n1/3PB1N1/PP2BPPP/R4RK1 b - - 3 17,"['d4e2',]"
1r1q1r1k/b1p3pp/p7/4pb2/2PnB3/2NP2P1/PP5P/R1BQ1R1K b - - 1 17,"['f5g4',]"
r1bq1r2/6kp/p2p2p1/1pp4n/3nN2R/3P1NP1/PPPQ2BP/R5K1 b - - 0 17,"['d4f3',]"
3r2k1/1p3q1b/p7/5p1Q/1N2p3/P1P4P/1P3PP1/7K w - - 1 33,"['h5g5',]"
k2r1b2/ppQ1p1pr/4R3/2Rp4/3B3p/q1N5/P1P2PPP/6K1 b - - 2 25,"['a3c1',]"
4r1k1/5p1p/p1R1b1p1/q7/4n3/2b1B3/P1Q1BPPP/R5K1 b - - 1 19,"['c3a1',]"
r3k2r/ppp2pp1/3bpQ1p/4N3/3n2B1/8/PPP2P2/R1B2RK1 b kq - 0 18,"['g7f6',]"
6k1/4Rr2/7p/7K/6P1/8/8/8 w - - 9 54,"['e7f7',]"
r1bk3r/1p1p3p/4p2B/2pN1p2/2Pn4/8/PPP2RPK/4R3 w - - 2 21,"['h6g5',]"
8/1p1kpp2/p2p2pp/3P4/P3R3/2r5/1r3PPP/4R1K1 w - - 0 26,"['e4e7',]"
r4rk1/pp3qpp/3bpp2/3p4/2pP1PNB/2P1P1Q1/PP4PP/R4nK1 w - - 0 21,"['g4h6',]"
rn1qk2r/1bp1ppbp/pp4p1/3nP3/3PB3/2N2N2/PPP3PP/R1BQ1RK1 b kq - 2 10,"['d5c3',]"
2n5/3k2p1/3p3p/3Kp2P/1N2P1P1/3P4/8/8 b - - 0 54,"['c8b6',]"
2r2r1k/1p2q1pp/4bb2/1PPQN3/2B5/8/5BPP/4R1K1 w - - 1 30,"['d5e6',]"
r2r4/4Nk2/2b2n1p/Rpp1n1p1/3pP1P1/1P3P1P/5NB1/R5K1 w - - 10 35,"['e7c6',]"
6k1/pp1n1p1p/8/3p1NB1/3P1bPQ/1P3P1P/P1q1rRK1/8 b - - 2 29,"['e2f2',]"
2r1r1k1/3b1p1p/p5p1/1p1Qq3/1P2n3/1NP1N2P/P3RPP1/2R3K1 b - - 0 23,"['e4c3',]"
6k1/2n4p/3p2p1/3Pp3/1q2PpQ1/8/1B3PPP/6K1 w - - 0 37,"['g4c8',]"
7r/5pk1/p1p3p1/q2pP3/Nr1RbP2/1P4p1/P1PQ2B1/2R3K1 b - - 1 30,"['e4g2',]"
r5k1/p4p1p/5p2/3p4/2p5/5q1b/PPP1B2K/R2Q1N2 b - - 0 21,"['f3g2',]"
1k1r4/pp3Bp1/3r4/5b1p/8/1PR1P3/P4PPP/2R3K1 b - - 0 21,"['d6d1',]"
2r3k1/6pp/5p2/ppNnP3/1q6/1P1QP2P/5PP1/2R3K1 b - - 0 29,"['c8c5',]"
7r/B4pp1/B4n2/3k3p/2b5/8/5PPP/4R1K1 w - - 1 25,"['e1d1',]"
r1bq1rk1/pp1p2bp/4p1p1/7n/2B1Q3/8/PPP1NPPP/R1B2RK1 b - - 5 13,"['d7d5',]"
5rk1/p5pp/2pp4/3p4/8/1P1R1rqP/P1P2QP1/4R1K1 w - - 0 25,"['f2g3',]"
r1b2rk1/1p1n1p2/p1pq2N1/3p3p/3P3P/3BP3/PPQ2PP1/2K3RR b - - 0 16,"['f7g6',]"
7r/5p2/pr3k2/1p4R1/7P/P1P1NP2/1P3K2/8 w - - 5 41,"['e3d5',]"
2rqk1nr/Q4ppp/4p3/1b1pN3/3P4/2P1P3/P2K1PPP/n1B4R w k - 0 16,"['a7f7',]"
rn1q2k1/ppp2ppp/3br3/8/2B3b1/5N2/PPP2PPP/R1BQ1RK1 b - - 5 13,"['g4f3',]"
6k1/p4pp1/1p6/1B2p3/P3P3/3nPPRp/7r/5K2 w - - 0 37,"['b5d3',]"
r1b1k2r/pppp1ppp/2n2q2/3N1n2/4P1Q1/8/PPP2bPP/R1B1KB1R w KQkq - 0 9,"['e1f2',]"
r4rk1/ppp2Rpp/8/4n3/2B5/2P2R1P/P1P3P1/6K1 w - - 0 19,"['f7f8',]"
3r4/7p/8/R1N2bk1/2p5/2P5/PP2r1PP/2KR4 b - - 2 29,"['e2c2',]"
r4rk1/7p/p1pp1qp1/1p2b3/8/2PB2RP/PPQ2PP1/5RK1 b - - 1 19,"['e5g3',]"
2q5/3k2b1/2bN2p1/r3p3/p1P5/R5Pr/1P2Q3/5RK1 w - - 2 39,"['e2g4',]"
4k3/7R/4K3/4P3/5r1p/8/8/8 w - - 7 47,"['h7h8',]"
4k1r1/1p1b1p1p/p3p3/5n1N/1B2p3/P4nP1/2r1BP1P/3RK2R w K - 4 26,"['e2f3',]"
8/4R1pp/5pk1/1p1b4/2p2PPP/8/2r2B2/6K1 w - - 0 38,"['f4f5',]"
r1b3k1/2qn2p1/2p2p2/1p1p4/pP1PrNp1/P1P5/B5P1/R2Q1R1K w - - 1 25,"['f4d5',]"
8/8/4k3/2p3R1/3bBp2/4rP1P/2PK2P1/8 b - - 4 39,"['d4c3',]"
2r2rk1/1p5p/p1q3p1/4QpN1/P1p5/1P3PP1/4P1KP/3R4 w - - 0 26,"['d1d6',]"
r4knr/p5pp/5R2/4Q3/2B3q1/2B1Pb2/P1P2PPP/5RK1 b - - 4 22,"['g7f6',]"
r1b1k1r1/pp3p1p/2n2Qp1/3qp1N1/1b4P1/8/PP2PPBP/R1B2K1R b q - 7 13,"['d5d1',]"
5bR1/2k2p2/2N3p1/3pQP2/1rpP4/r2qP3/P7/K6R b - - 4 41,"['f8d6',]"
1rr3k1/Q1p1b1pp/4qp2/3N4/2n3PP/8/PPP5/1KBR2R1 b - - 0 24,"['c4a3',]"
6k1/p4q2/2r4Q/5Pp1/7K/3p4/PPb5/4R3 w - - 0 42,"['h6g5',]"
rnb2rk1/pp3ppp/5q2/3Q4/8/2P1PN2/P4PPP/R3KB1R b KQ - 0 11,"['f6c3',]"
8/7p/2p4K/1p1k3P/p1p5/8/P7/B7 b - - 1 42,"['b5b4',]"
2r1k3/1b1nbpQ1/p2pp2r/1pq4p/4P1nP/P1NB1NB1/1PP2PP1/2R1R1K1 b - - 0 17,"['e7f6',]"
2kr4/pp1q4/8/4Q3/8/4B1p1/PPP5/2R2R1K b - - 0 31,"['d7h3',]"
1k5r/ppp2R2/3rB3/7p/4P1n1/2N5/PPP3Pb/5R1K b - - 3 20,"['d6e6',]"
7k/7p/pp6/4p3/1p1n4/P2P3P/1BP3K1/8 w - - 0 35,"['b2d4',]"
4r1k1/p4p1p/1p4p1/P2pr1q1/2bQ4/2P1PB1P/3R1PP1/R6K b - - 0 22,"['e5e4',]"
3rk3/3p1p2/5K2/2p1P3/pp3P2/8/3R4/8 w - - 0 44,"['d2h2',]"
2b1r1k1/ppq1rppp/3p4/2pP4/2P5/1P1P2PP/P3RQBK/5R2 w - - 3 24,"['f2f7',]"
2k5/1p1r1ppp/p5q1/2P2pP1/2b4P/P1N2Q2/3r4/1R2R2K w - - 3 27,"['e1e8',]"
3r1rk1/1p1q1p1p/p3p1p1/2pN1b2/2P5/1P1P2P1/P1Q2P1P/R4BK1 w - - 0 24,"['d5f6',]"
r1b3k1/ppp2ppp/2p5/2P5/4r3/7P/PPP1BPP1/2KR3R w - - 0 15,"['d1d8',]"
8/4pp1P/1k1p4/4b3/PN2K3/8/8/8 w - - 3 41,"['a4a5',]"
r2qk2r/ppp1b1pp/3p1n2/5Q2/2nPP3/2N5/PPP3PP/R1B2RK1 w kq - 1 12,"['f5b5',]"
6k1/5p2/3Kp1p1/3pP3/3P1PP1/8/8/8 w - - 3 50,"['f4f5',]"
8/3N3k/5p1p/2p3pr/5P2/2P1K3/2P2P2/8 w - - 0 38,"['d7f6',]"
rnbqkb1r/ppp1pppp/8/8/4n3/5NP1/PP1P1P1P/RNBQKB1R w KQkq - 0 6,"['d1a4',]"
r4rk1/pb3p2/1ppp3Q/3Pp1q1/2P5/1P1P4/1P3PP1/R3K2R w KQ - 0 18,"['h6g5',]"
r3qrk1/2p1n3/1p1p3Q/pP1P1pNp/P1P1P3/2Nn4/8/6K1 w - - 0 31,"['h6h7',]"
6k1/1pq1rRpp/2nbp3/p1p3N1/P2pP3/3P2nP/1PP2QP1/R1B3K1 b - - 5 22,"['e7f7',]"
8/p2k1pp1/7p/1p5P/1P2K1P1/1r1N4/3r4/4R3 w - - 4 34,"['d3c5',]"
r3r2k/pp3pbp/2n1bq2/5p2/2p5/2P2NQ1/PPB3PP/R1B2R1K w - - 6 18,"['c1g5',]"
5bkr/3Q4/p2pn1p1/q2Npb1p/7P/8/P1r2PP1/R4RK1 w - - 2 22,"['d5f6',]"
r1b2Q2/1p6/p1pBkb1p/P3Nqp1/3P4/2P5/5PPP/6K1 w - - 3 25,"['f8f7',]"
r4rk1/pp3pp1/2p4P/3nP3/3PN3/5Q2/Pq3P2/R3K2R w KQ - 0 28,"['a1d1',]"
b1rq1r1k/4bpp1/p3pn1p/1p2N3/3PB1P1/P4N2/1P3PP1/1Q1RR1K1 w - - 1 22,"['e4a8',]"
3r4/3PP3/p7/1p3Bp1/6P1/8/PP3k1K/3RR3 b - - 0 44,"['d8h8',]"
1rbq2k1/1p3pbp/pNp3p1/2Pp4/5PB1/4P3/PP1B2Pr/R1Q2RK1 b - - 0 20,"['d8h4',]"
8/8/4R2p/pp2Pkp1/b2B4/3r1P2/6K1/8 w - - 1 40,"['e6f6',]"
r1b2rk1/1pp2ppp/p6q/3N4/4PPn1/P2B2P1/1PP3P1/R2QRK2 b - - 2 19,"['h6h1',]"
1k5b/3R4/8/5p2/8/8/P1K1b1r1/7R w - - 0 47,"['h1h8',]"
4rk2/pp4p1/1qn3pp/3p4/3N4/1NP2PnP/PP4P1/3QR1K1 w - - 0 26,"['e1e8',]"
k4r2/pp6/1q1p1Np1/4n1P1/3pP3/3P2QP/1P3RB1/1b4K1 w - - 2 34,"['f6d5',]"
6k1/p4pb1/1q2p1pp/3bP3/2p5/Q7/PB3PPP/2N1N1K1 b - - 2 34,"['g7f8',]"
2r5/1Q2Rqkp/p5p1/8/8/7P/P4rP1/6K1 w - - 0 33,"['e7f7',]"
2rqrbk1/p1n5/1p2p3/2n2p1N/2PQ4/5B2/PP3PPP/2R2RK1 w - - 1 22,"['h5f6',]"
4rr2/p2R2pk/7p/1pp5/6QN/8/Pq3PPP/5RK1 b - - 1 28,"['b2f2',]"
rn1qk2r/4b2p/p2p1n2/2pPp3/1pP1PpP1/1P6/PB1KNQ2/R4BNR b kq - 0 17,"['f6e4',]"
4r2k/p1q1P1p1/7p/8/8/2P5/5RPP/4RK2 w - - 0 25,"['f2f8',]"
6k1/5pp1/4p2p/pB2P3/Pb3P2/3R1PPK/1rr5/3R4 w - - 4 30,"['d3d8',]"
2r3k1/1p3p2/p2Q1P1p/2q3p1/6P1/7P/r1P1RR1K/8 w - - 2 31,"['e2e8',]"
r4rk1/3ppp2/p5pp/qp1Q4/6PP/2b1BP2/P1P5/2KR1B1R b - - 2 17,"['a5a3',]"
2r1r1k1/5pp1/p2B1q1p/1pp1nP2/4P3/PPP1R1QP/6P1/3R3K b - - 6 28,"['c8d8',]"
3r2k1/2p2ppb/pb5p/1p1RP3/5B1q/5QNP/PP3PP1/6K1 w - - 1 24,"['f3g4',]"
8/8/2kp4/5P1p/3K4/8/3n2P1/B7 b - - 2 57,"['d2b3',]"
r1b1r1k1/1pp2pp1/p2p3p/7n/2PbP2q/2NB1Q1P/PP1B1PP1/R3R1K1 b - - 6 16,"['c8g4',]"
4r2k/1bq1r2p/p1pb1pp1/3pn3/3N1B1P/1B2R1Q1/PPP2PP1/4R1K1 b - - 1 24,"['c6c5',]"
3rr2k/3qn1p1/p3R2p/1p3p1Q/7R/2P4P/PP3PP1/6K1 w - - 0 28,"['e6h6',]"
kn6/8/PQp2p1n/4q1pp/1b2P3/2N2P2/1PP3PP/3R2K1 b - - 0 27,"['b4c5',]"
5rk1/p7/2p4p/2qp2pB/P7/2P1p3/2Q3PP/1R4K1 b - - 0 26,"['e3e2',]"
3r1rk1/pp3ppp/1q2p3/2p1n2Q/3bN3/1P6/P1B2PPP/1R3R1K w - - 2 21,"['e4f6',]"
1k3b1r/ppp5/2n2p2/6q1/2P4p/8/P1P2PPP/3QR1K1 w - - 0 25,"['e1e8',]"
rnbqk2r/pp3ppp/2p5/3pP1n1/1bBQ3P/8/PB3PP1/RN3KNR w kq d6 0 11,"['e5d6',]"
r3k2r/1p3pp1/p3p1p1/6R1/2Pp2n1/1P1P1B1q/P4P2/RN1Q2K1 b kq - 3 21,"['h3h2',]"
r1bqk2r/pp1nn3/2p1p1Np/2Pp1p1Q/3P1B2/2PBP3/P4PPP/R3K2R b KQkq - 0 12,"['d7f6',]"
2r2rk1/p2b1ppp/4pb2/q7/1p2N3/1Q4P1/PP2PPBP/R2R2K1 b - - 1 19,"['d7a4',]"
rnb1k1r1/pp1pbpQp/2p4n/8/1qB1P3/2N5/PB3PPP/1R2K1NR w Kq - 1 11,"['c4f7',]"
8/5Nkp/p5p1/1pB4b/2p5/2n4P/n1Br2P1/5RK1 w - - 1 31,"['f7g5',]"
7r/6p1/3p4/4pnP1/R1N1k3/2r5/5P1p/R6K w - - 2 46,"['c4d6',]"
1R6/6b1/2qpkp2/2r1p2Q/4P3/6Pp/4KP1P/8 w - - 3 42,"['b8e8',]"
2r3k1/5p1p/1p2pB2/p2b4/5q2/PP2b1N1/RQ3PPP/2r2BK1 w - - 5 23,"['f2e3',]"
5k2/5P2/8/p5p1/1q1p4/pr6/2PQ4/1K1R4 w - - 0 49,"['c2b3',]"
r2q4/p2b4/4pk2/2pp3Q/2nP4/8/PPP4P/R6K w - - 0 25,"['h5h4',]"
r7/1R6/3kp3/p2p4/3P4/Pp2PN2/1r6/3K4 w - - 0 41,"['f3e5',]"
2r3k1/1p4pp/2q2pb1/7P/6Q1/P4P2/1Br3P1/1R3R1K b - - 0 24,"['c2c4',]"
8/1k3p2/p3p3/Pp2Pp1p/1P1K3P/8/6P1/8 w - - 1 43,"['d4c5',]"
8/2k2B2/p2p3n/1ppP3P/4Kp2/8/PP6/8 w - - 0 48,"['f7e6',]"
2r3nr/3R3p/kp3pp1/8/PP4R1/5P2/5b1P/1K6 w - - 0 24,"['b4b5',]"
rn2k1nr/pp2bppp/2pp2q1/4p3/4P2N/P1NPB2b/1PP1BPPP/R2Q1RK1 b kq - 11 11,"['e7h4',]"
6rk/bp1P2r1/5N2/p2P4/2p5/PBP2P2/1P5P/4R2K b - - 1 31,"['g7g1',]"
8/p2k2p1/2p2p2/8/1B1r4/P1R2b1P/5P1P/6K1 b - - 2 35,"['d4d1',]"
r1b1kb1r/pp3ppp/1q2p1n1/3pP3/3P4/nPB4N/P3BPPP/RN1QK2R w KQkq - 1 13,"['b1a3',]"
2b5/p1p2kqp/1p1p2p1/3P4/1PP5/4QPn1/P2K2P1/R3R3 b - - 12 37,"['g7b2',]"
5k2/p4pbp/2N3p1/3P1p2/p1P5/5B2/1r3PPP/5RK1 b - - 3 27,"['a4a3',]"
7k/2r4n/p2p3R/1p1Bb1r1/1pP1Qq1P/1P6/P4P2/4R1K1 w - - 0 32,"['h4g5',]"
8/2Q3bk/2p2q1p/N1P4P/6p1/6N1/2r2PP1/1R4K1 b - - 0 39,"['f6f2',]"
4r1k1/1p3qpp/p3b1n1/4B3/4Qp2/P2R4/1PP2PPP/4R1K1 b - - 0 29,"['e6f5',]"
R7/8/8/7p/P5p1/3k2Pr/6K1/8 w - - 1 51,"['a8g8',]"
r1bq1rk1/bpp2pp1/p6p/3pP3/3N4/P1nB3P/1P3PP1/R1BQ1RK1 w - - 0 15,"['b2c3',]"
r1b1k2r/ppp1nppp/2n2q2/2bp4/Q2NP3/2P1B3/PP3PPP/RN2KB1R w KQkq - 0 8,"['d4c6',]"
r3r1k1/5pbp/b5p1/p2P1q2/8/2N2PP1/PP1Q1KBP/R3R3 b - - 5 22,"['f5c2',]"
r1k1r3/p2n2p1/2p4p/1p1pN3/1b1P4/1P6/1P2RPPP/R1B2K2 w - - 6 25,"['e5c6',]"
8/r7/4k2p/p2p1N2/1p2p1R1/6RP/5rPK/8 w - - 3 35,"['f5d4',]"
8/2Qqk1p1/1p3p1p/4p2P/P3PP2/5KP1/8/8 w - - 5 44,"['c7d7',]"
2r5/5pkp/1P4p1/3Q4/p7/P1q1P2P/2P3P1/2R3K1 b - - 0 41,"['c3e3',]"
2b3rk/4qprp/3p3R/1p3p2/p1n1PPQ1/P1PB2R1/1PK4P/8 w - - 0 33,"['h6h7',]"
8/7p/8/1r2p3/4k3/6P1/1RK2P1P/8 b - - 0 41,"['b5b2',]"
3rr1k1/5q1p/bp1R2p1/5N2/4P2K/P4PQ1/6P1/8 w - - 2 40,"['f5h6',]"
2kr3r/pbp2ppp/1pPqp3/8/4B3/2b2N2/P1P2PPP/1RBQ1RK1 b - - 0 13,"['d6d1',]"
2r3k1/5ppp/p7/1pp1R3/4Q1Pb/5P2/qPP1B3/2K5 w - - 0 25,"['e5e8',]"
4rk2/4rpq1/8/pp1pn2B/5Q2/P1P3R1/1P3PP1/1R4K1 b - - 2 32,"['g7h7',]"
1r3r1k/1pR3Rp/3Q4/1b1p1qp1/3P4/4PpP1/PP3P1P/6KB b - - 1 27,"['f5b1',]"
r2q1r1k/1pp4n/p1np3Q/5b1p/1PP4P/P1N2P2/4B3/R3K1R1 w Q - 0 28,"['h6g7',]"
8/2r4k/1p4pp/5p2/1P1b1N2/4qQ1P/P5P1/3R3K w - - 7 37,"['f3e3',]"
3rr3/pp1k4/3b2pp/2pRN3/8/4P2P/PPP3P1/2K4R b - - 2 22,"['e8e5',]"
2kr4/ppp1R1p1/2q2p2/2r4p/1PNn1P2/P1QP4/2P4P/1K1R4 b - - 0 24,"['d4b5',]"
8/1r3kRp/5B2/7p/4pR2/6PK/3pr3/8 b - - 3 55,"['f7e6',]"
8/8/3p1p2/p2P1kP1/P7/2N2K2/1p6/8 b - - 0 50,"['f6g5',]"
2r2k1r/pb2q1bp/1p1p2p1/3Ppp2/QP6/P4NP1/4NPP1/RB2K2R b KQ - 1 19,"['e5e4',]"
8/8/8/2k5/r7/3K2R1/8/8 b - - 31 65,"['a4a3',]"
8/5pp1/4p2p/4P3/2k1KPPP/8/8/8 w - - 1 49,"['h4h5',]"
r3kbr1/pp2pp1p/5n2/3pN3/1P1Pn3/1N1QP3/q7/2RKR3 w q - 0 24,"['d3b5',]"
r5k1/1p3ppp/2n1p3/8/pQ3Bq1/4P1PP/PP3PB1/3R2KR b - - 0 20,"['g4d1',]"
3r2k1/1r1P1pp1/7p/8/8/8/6PP/2RR3K w - - 1 35,"['c1c8',]"
r4rk1/2p1bppp/p1Pp1q2/2p3B1/8/2P5/P1PQ1PPP/R3R1K1 b - - 6 16,"['f6g5',]"
rn2k2r/p3ppbp/2pqbnp1/3p4/8/1QNBPN2/PP1B1PPP/2R1K2R w Kkq - 4 12,"['b3b7',]"
r3r2k/1b5p/p5p1/1p3Bq1/3p1N2/P2P3R/1PPQ1PP1/4RK2 b - - 0 23,"['b7g2',]"
r1q2r2/pp3k1p/2p1b3/P2pBp2/3P3b/1QP1PP1n/4B2N/R1R2K2 w - - 2 23,"['f3f4',]"
r2qr1k1/1p3ppp/p1p2nb1/8/2Q1P3/1P5P/PB1N1PP1/R3R1K1 b - - 2 17,"['d8d2',]"
r2qk2r/pb1p1pbp/2p2np1/2N1p3/2B1P3/8/PPP1QPPP/R1B1K2R b KQkq - 3 10,"['d8a5',]"
5rk1/1p4p1/2p1p3/4N1Np/1P1r4/P7/6P1/5RK1 w - - 0 31,"['f1f8',]"
2kr2r1/pbp3b1/1p1p2Np/3Ppq2/1PP5/P3Q3/6PP/R3K2R w KQ - 0 22,"['g6e7',]"
2n5/2k5/P7/3Pp3/5pP1/5P2/5K2/8 w - - 0 51,"['g4g5',]"
8/6pp/p1P5/3ppkP1/P3b2P/5p1r/4R3/2R1K3 w - - 0 41,"['c6c7',]"
r3k2r/pp1n2p1/2p4p/3p1p2/3Pn2q/2PQ1P1P/PP1N2PN/R3R1K1 b kq - 0 17,"['h4f2',]"
8/5pk1/4p1p1/1P4p1/4Q3/2q1NB1P/1r3PK1/8 w - - 0 49,"['e3d1',]"
6k1/6p1/2ppN1Pp/1p3Pr1/1P2P1n1/P2P4/2K5/5R2 b - - 10 39,"['g4e3',]"
N1bk3r/pp1p1ppp/8/4P3/1b6/q1B2Q2/P2K1PPP/R4B1R b - - 2 14,"['a3b2',]"
2r2rk1/4pp1p/p2p2p1/2pP2Pn/1p2P1QP/1PB5/qPK2P2/3R3R w - - 0 20,"['d1a1',]"
rn1q1bkr/pp4pp/2p5/4N3/4P1Q1/2p5/P4PPP/R1B1K2R w KQ - 0 12,"['g4e6',]"
r1b2rk1/1p4pp/3p2q1/p2p1pB1/1n1Pp3/P1Q1PP1N/1P4PP/2KR1B1R b - - 0 16,"['b4a2',]"
2b2rk1/p3p1Bp/2pp2p1/1q6/4Q3/1P6/PP3PPP/1K1R3R b - - 0 20,"['c8f5',]"
r4rk1/ppp1Q1p1/2b1p2p/4Pn2/3pN1q1/P2B2P1/1P3P1P/R4RK1 w - - 2 20,"['e7e6',]"
1r4k1/1p2bpp1/p3p2p/P1npP3/3N1P2/2P1B3/6PP/1R4K1 w - - 3 25,"['d4c6',]"
3r1rk1/ppp2qbp/4p1p1/3Pnp2/2B1p3/1P2B2P/P1PQ1PP1/1K1R3R w - - 0 17,"['d5e6',]"
